score_v2,listing_id,title,state,industry,asking_price,cash_flow_sde,gross_revenue,sde_multiple,sde_margin,employees,location,flags_v2,url
38,2432301,"High Net Electric Company In Martin County, FL",florida,hvac,799999,380684,,2.10,,,"High Net Electric Company In Martin County, FL",license-risk|no-revenue,https://www.bizbuysell.com/business-opportunity/high-net-electric-company-in-martin-county-fl/2432301/
30,2474799,Semi-Absentee SoCal Commercial HVAC 30+ Years $350K+ SDE Scale-Ready,california,hvac,,350000,,,,,"Los Angeles County, CA",license-risk|no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/semi-absentee-socal-commercial-hvac-30-years-350k-sde-scale-ready/2474799/
30,2407884,Profitable turnkey HVAC business with Real Estate for Sale,california,hvac,,,,,,,"Tuolumne County, CA",license-risk|no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/profitable-turnkey-hvac-business-with-real-estate-for-sale/2407884/
30,2473849,Recession Proof Norcal Absentee Owned Environmental Testing Company -,california,hvac,,750000,,,,,,license-risk|no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/recession-proof-norcal-absentee-owned-environmental-testing-company/2473849/
30,2473189,Turnkey Wildlife Removal & Property Remediation Repair Business,florida,pest-control,,150000,,,,,"Jensen Beach, FL",license-risk|no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/turnkey-wildlife-removal-and-property-remediation-repair-business/2473189/
28,2452631,Stable Route-Based Business with Long-Term Clients,texas,pest-control,,97616,,,,,"Fort Worth, TX",license-risk|no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/stable-route-based-business-with-long-term-clients/2452631/
28,2391789,Top Roofing Company-General Contractor,oklahoma,service,,244262,,,,,,no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/top-roofing-company-general-contractor/2391789/
28,2469127,Established Tulsa Metro Cleaning Business | High Recurring Revenue,oklahoma,service,,75000,,,,,"Tulsa, OK",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/established-tulsa-metro-cleaning-business-high-recurring-revenue/2469127/
28,2488772,45-Year Two-Way Radio Sales & Service Business w/ Recurring Revenue,arkansas,service,,200000,,,,,"Sebastian County, AR",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/45-year-two-way-radio-sales-and-service-business-w-recurring-revenue/2488772/
28,2489667,Commercial Cleaning | 8-10 Hrs/Week | $156K Contracted Annual Revenue,arkansas,service,,52000,,,,,"Washington County, AR",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/commercial-cleaning-8-10-hrs-week-156k-contracted-annual-revenue/2489667/
28,2449543,Dayton 4 Territory Mosquito Shield Franchise - Owner Financing!,ohio,pest-control,,,,,,,"Dayton, OH",license-risk|no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/dayton-4-territory-mosquito-shield-franchise-owner-financing/2449543/
27,2418469,Established Organic Lawn Care & Pest Control – Recurring Revenue,texas,pest-control,,,,,,,"Houston, TX",license-risk|no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/established-organic-lawn-care-and-pest-control-recurring-revenue/2418469/
27,2471053,"Campbell’s Snacks Route, Bartlesville, OK",oklahoma,service,,74082,,,,," Bartlesville, OK",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/campbells-snacks-route-bartlesville-ok/2471053/
27,2462331,30 FedEx P & D Routes for Sale in Tulsa Oklahoma Area,oklahoma,service,,830243,,,,,"Tulsa County, OK",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/30-fedex-p-and-d-routes-for-sale-in-tulsa-oklahoma-area/2462331/
27,2455544,"Flowers Bread Route, Stillwater, OK",oklahoma,service,,73684,,,,," Stillwater, OK",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/flowers-bread-route-stillwater-ok/2455544/
27,2455537,"Flowers Bread Route, Stillwater, OK",oklahoma,service,,68952,,,,," Stillwater, OK",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/flowers-bread-route-stillwater-ok/2455537/
27,2443990,"Mission Foods Route For Sale-Tulsa OK-$110,000",oklahoma,service,,98221,,,,,"Jenks, OK",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/mission-foods-route-for-sale-tulsa-ok-110-000/2443990/
27,2375915,1 Bread Route - Northeastern Oklahoma,oklahoma,service,,,,,,,,no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/1-bread-route-northeastern-oklahoma/2375915/
27,2495004,Great DFW area pool route,texas,service,,101418,,,,,"Dallas, TX",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/great-dfw-area-pool-route/2495004/
27,2494574,Great Houston area pool route,texas,service,,72162,,,,,"Houston, TX",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/great-houston-area-pool-route/2494574/
27,2494564,Great Dallas area pool route,texas,service,,70942,,,,,"Dallas, TX",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/great-dallas-area-pool-route/2494564/
27,2484522,Established Pool Service Route – Flower Mound with 46 Accounts,texas,service,,,,,,,"Flower Mound, TX",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/established-pool-service-route-flower-mound-with-46-accounts/2484522/
27,2472918,1 Bread Route - Central Arkansas,arkansas,service,,,,,,,,no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/1-bread-route-central-arkansas/2472918/
27,2464865,19 FedEx P&D Routes - Northwestern Arkansas,arkansas,service,,431102,,,,,,no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/19-fedex-pandd-routes-northwestern-arkansas/2464865/
27,2452318,"Flowers Bread Route, Springdale, AR",arkansas,service,,150332,,,,," Springdale, AR",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/flowers-bread-route-springdale-ar/2452318/
27,2450444,"Flowers Foods Route For Sale-Springdale AR-$115,000",arkansas,service,,132080,,,,,"Springdale, AR",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/flowers-foods-route-for-sale-springdale-ar-115-000/2450444/
27,2284361,"Flowers Bread Route, Lake Village, AR",arkansas,service,,51636,,,,," Lake Village, AR",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/flowers-bread-route-lake-village-ar/2284361/
27,2492854,Established Profitable Commercial Window Cleaning Franchise,texas,cleaning,,149999,,,,,"Beaumont, TX",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/established-profitable-commercial-window-cleaning-franchise/2492854/
27,2413376,Exterior Cleaning Company-Well Known Existing Franchise,texas,cleaning,,,,,,,"San Antonio, TX",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/exterior-cleaning-company-well-known-existing-franchise/2413376/
27,2383002,Chimney Sweeps/Dryer Vents/Air Ducts,texas,cleaning,,,,,,,"Taylor, TX",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/chimney-sweeps-dryer-vents-air-ducts/2383002/
27,2491911,Industrial Pressure Washing Company for Sale,texas,cleaning,,130000,,,,,"Harris County, TX",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/industrial-pressure-washing-company-for-sale/2491911/
27,2455657,$100k Seller Financing l Cleaning Business | $172K Net,texas,cleaning,,174724,,,,,"Travis County, TX",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/100k-seller-financing-l-cleaning-business-172k-net/2455657/
27,2474817,Fully Operational Carpet Cleaning Franchise,texas,cleaning,,,,,,,"Corpus Christi, TX",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/fully-operational-carpet-cleaning-franchise/2474817/
27,2458861,"Midland, TX - Established Carpet Cleaning Business with Client Base",texas,cleaning,,,,,,,"Midland, TX",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/midland-tx-established-carpet-cleaning-business-with-client-base/2458861/
27,2482248,Property Cleaning & Maintenance Business,texas,cleaning,,316948,,,,,"Houston, TX",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/property-cleaning-and-maintenance-business/2482248/
27,2431071,Disaster Restoration Service Company with State-of-the-Art Facilities,texas,cleaning,,274989,,,,,"San Antonio, TX",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/disaster-restoration-service-company-with-state-of-the-art-facilities/2431071/
27,2423238,DFW Area 3-Unit Pink's Window Cleaning - Priced Way Less Than New!,texas,cleaning,,,,,,,"Southlake, TX",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/dfw-area-3-unit-pinks-window-cleaning-priced-way-less-than-new/2423238/
27,2461063,Profitable Residential & Commercial Cleaning Business - 45% YOY Growth,texas,cleaning,,,,,,,"Tyler, TX",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/profitable-residential-and-commercial-cleaning-business-45-yoy-growth/2461063/
27,2330852,Carpet Cleaning,texas,cleaning,,,,,,,"Humble, TX",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/carpet-cleaning/2330852/
27,2442973,Premier Oriental Rug Cleaning & Artisan Restoration Shop,texas,cleaning,,64200,,,,,"Dallas County, TX",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/premier-oriental-rug-cleaning-and-artisan-restoration-shop/2442973/
27,2361272,"Booming Pool/Spa Business, B2B and B2C, residual income, growing",texas,cleaning,,,,,,,"Fort Worth, TX",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/booming-pool-spa-business-b2b-and-b2c-residual-income-growing/2361272/
27,2460044,"Successful, owner/operator franchise territory for sale",texas,service,,,,,,,"Collin County, TX",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/successful-owner-operator-franchise-territory-for-sale/2460044/
27,2479698,Profitable Property Washing Service with Proven Methods,kansas,cleaning,,480442,,,,,"Wichita, KS",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/profitable-property-washing-service-with-proven-methods/2479698/
27,2477659,"Established Junk Removal and Recycling Business - Kansas City, MO",kansas,cleaning,,,,,,,"Established Junk Removal and Recycling Business - Kansas City, MO",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/established-junk-removal-and-recycling-business-kansas-city-mo/2477659/
27,2337058,High Margin window cleaning business in Boston!,massachusetts,cleaning,,,,,,,"Boston, MA",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/high-margin-window-cleaning-business-in-boston/2337058/
27,2490617,Commercial power washing with reoccurring revenue!,massachusetts,cleaning,,265000,,,,,"Cambridge, MA",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/commercial-power-washing-with-reoccurring-revenue/2490617/
27,2357634,Established carpet and upholstery cleaning business for sale.,massachusetts,cleaning,,,,,,,"Wilbraham, MA",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/established-carpet-and-upholstery-cleaning-business-for-sale/2357634/
27,2454604,Established Commercial and Residential Cleaning Company,massachusetts,cleaning,,74189,,,,,"Boston, MA",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/established-commercial-and-residential-cleaning-company/2454604/
27,2417530,Solar Installation Contractor with Strong Earnings,california,hvac,,284000,,,,,"Ventura County, CA",license-risk|no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/solar-installation-contractor-with-strong-earnings/2417530/
27,2383910,Established Hot Water Heating Contractor & Wholesale Distribution,california,hvac,,730000,,,,,,license-risk|no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/established-hot-water-heating-contractor-and-wholesale-distribution/2383910/
27,2489731,Established Plumbing Contractor – San Diego County,california,plumbing,,199172,,,,,"San Diego, CA",license-risk|no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/established-plumbing-contractor-san-diego-county/2489731/
27,2255791,Highly Profitable 25+ Year Thriving General Contracting Company,california,plumbing,,1405795,,,,,"Riverside County, CA",license-risk|no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/highly-profitable-25-year-thriving-general-contracting-company/2255791/
